"Salmo.trutta" "Phoxinus.phoxinus" "Parachondrostoma.miegii" "Luciobarbus.graellsii" "Salaria.fluviatilis" "Cobitis.calderoni" "Barbus.haasi" "Gobio.lozanoi" "Phoxinus.bigerri" "Achondrostoma.arcasii" "Squalius.laietanus" "Anguilla.anguilla" "Cobitis.paludica"
"CHE-285552" 1 1 1 1 0 0 0 1 1 0 0 0 0
"CHE-325710" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-248951" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-327166" 0 0 1 0 0 0 0 1 1 1 0 0 0
"CHE-283134" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-76966" 1 1 1 0 0 0 1 0 1 0 0 0 0
"CHE-270210" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-117834" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284639" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-96662" 1 0 0 0 0 0 1 0 1 0 0 0 0
"CHE-270200" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-340564" 1 1 1 1 0 1 0 0 0 1 0 0 0
"CHE-319467" 0 1 1 1 0 1 0 0 0 1 1 0 0
"CHE-350092" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-118224" 1 1 1 0 0 0 1 1 1 0 1 0 0
"CHE-380878" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-332782" 1 1 1 0 0 0 1 0 1 0 0 0 0
"CHE-328963" 1 1 1 1 0 1 1 1 1 1 0 0 0
"CHE-96106" 1 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-355301" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-340797" 1 1 1 1 0 1 0 0 0 1 0 0 0
"CHE-117493" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284719" 0 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-96196" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270157" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-325430" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-284608" 0 1 1 1 0 0 0 0 0 0 0 1 0
"CHE-270192" 0 0 1 1 0 1 0 1 1 1 0 0 0
"CHE-76618" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-93091" 1 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-341749" 1 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-283076" 0 1 1 1 0 1 0 1 1 1 0 0 0
"CHE-76124" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-350724" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-356241" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-283047" 0 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-92864" 0 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-329197" 1 1 0 1 0 0 1 0 0 0 0 0 0
"CHE-36246" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-341016" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-324618" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-333091" 1 1 0 0 0 0 1 0 1 1 0 0 0
"CHE-46017" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-282990" 0 1 1 1 0 1 0 1 1 0 0 0 0
"CHE-115221" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-95139" 1 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-313483" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-115532" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270040" 0 1 0 1 0 0 0 0 0 0 0 0 0
"CHE-114820" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-282977" 0 0 0 1 0 0 0 1 1 1 0 0 0
"CHE-75861" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-75936" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-33320" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-327947" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-333564" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-313507" 0 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-40244" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-313619" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-43391" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-342974" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-343162" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-329554" 1 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-333771" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-351432" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-114549" 1 1 1 1 1 0 1 1 1 0 1 0 0
"CHE-31129" 1 1 1 1 0 0 0 0 0 0 0 0 0
