"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0901_3212" 0 18 0 4 70 0 2 2 0 0 0 0 0 0 10 2 53 0 0 0 0 23 2 3 2 0 63 0 0 5 0 133 0 0 0 2 0 0 0
"PL02S0901_3213" 0 0 0 2 13 0 1 1 0 0 0 0 0 0 27 15 230 0 0 0 0 14 0 0 2 0 1 0 0 195 0 29 0 0 0 0 0 0 1
"PL02S0901_3214" 0 2 3 110 800 0 1 3 0 1 0 12 0 0 8 6 48 1 0 0 0 18 5 5 0 1 30 0 0 9 0 24 0 0 0 0 5 0 0
"PL02S1201_0201" 0 1 0 0 0 0 0 0 0 46 0 0 0 1 0 0 0 9 0 0 2 0 0 0 0 0 8 0 0 0 0 1 0 0 0 0 0 0 0
"PL02S1201_0204" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S1201_0206" 0 0 0 0 0 0 0 0 0 218 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 11 0 0 0 1 0 0 0
"PL02S1201_1054" 0 0 0 0 4 0 0 0 0 0 0 0 0 1 1 0 15 0 0 0 0 50 0 0 0 0 9 0 0 23 0 2 0 0 0 0 0 0 0
"PL02S1201_1055" 0 352 7 0 661 0 0 0 0 2 0 0 0 0 0 0 5 2 0 0 0 25 6 0 0 0 16 0 0 9 0 70 0 0 10 11 0 0 0
"PL02S1201_1056" 0 64 10 0 127 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 7 0 0 0 0 7 0 0 11 3 12 0 0 7 3 0 0 0
"PL02S1201_1072" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 46 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S1201_1087" 0 0 0 0 114 0 0 0 0 0 0 0 0 0 5 0 18 0 0 0 0 26 0 0 0 0 3 0 0 47 0 87 0 0 0 0 0 0 0
"PL02S1201_1101" 0 0 0 0 0 0 11 0 0 0 0 0 0 0 2 0 30 0 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0
"PL02S1201_3114" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 6 0 0 0 0 0 0 1
"PL02S1301_1124" 0 0 1 0 18 3 0 6 0 4 13 0 0 0 0 0 10 0 0 0 0 35 0 0 0 0 3 0 0 7 0 0 0 0 0 0 1 0 1
"PL02S1301_1127" 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 12 0 0 0 0 10 0 0 0 0 0 23 0 0 0 0 72 0 0 0 0 0 0
"PL02S1301_1135" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
