"Geology" "Gem_typ" "LUses" "order" "elev" "Cond_Gl" "Dischrg" "Mn_Ar_T" "AGR" "FR" "UR"
"CHE-280141" "Sediments" "Meandering" "Urban" 4 427 2 0.00184 64.90141 0.396923076923077 0.0492307692307692 0.553846153846154
"CHE-307947" "Shales" "Straight" "Forest_NoConif" 3 1076 4.105575 0.00102 57 0.00314465408805031 0.99685534591195 0
"CHE-304400" "Sandstones" "Straight" "Forest_NoConif" 4 919 1 0.00106 93.40762 0 1 0
"CHE-312504" "Shales" "Straight" "Urban" 2 1534 1 0.00013 77.54393 0 0.90251572327044 0.0974842767295598
"CHE-367128" "Sediments" "Straight" "Forest_NoConif" 4 533 2 0.00118 48.67361 0.592476489028213 0.407523510971787 0
"CHE-280057" "Sediments" "Sinuous" "Urban" 5 415 2 0.00461 67.15836 0.046875 0 0.953125
"CHE-105002" "Sediments" "Straight" "Forest_Conif" 4 1741 1.58535 0.00058 102.73853 0 1 0
"CHE-293208" "Sediments" "Straight" "Shrubs" 3 631 1.196075 1e-05 59.62888 0.122257053291536 0.877742946708464 0
"CHE-367036" "Sediments" "Sinuous" "Forest_Plantation" 4 524 2 0.00125 48.67361 0.965299684542587 0 0.0347003154574132
"CHE-359673" "Sediments" "Sinuous" "HumidAreas" 4 486 2.73077 1e-05 42.47412 0.540880503144654 0.0125786163522013 0.446540880503145
"CHE-273141" "Sediments" "Sinuous" "HumidAreas" 5 384 2 0.00862 63.61759 0.849056603773585 0.150943396226415 0
"CHE-291143" "Sandstones" "Straight" "Agriculture" 4 662 1 1e-05 75.19595 0.147798742138365 0.852201257861635 0
"CHE-363675" "Sediments" "Straight" "Urban" 3 535 2.179665 0.00129 48.11922 0.40625 0.478125 0.115625
"CHE-104820" "Calcareous" "Sinuous" "Forest_NoConif" 4 1452 5 0.00086 100.80028 0 1 0
"CHE-277970" "Sediments" "Sinuous" "Agriculture" 5 385 2 0.00642 61.46646 0.846875 0 0.153125
"CHE-307733" "Sandstones" "Sinuous" "Pasture" 3 937 1 1e-05 93.37782 0.0721003134796238 0.927899686520376 0
"CHE-105278" "Sediments" "Straight" "Pasture" 2 1809 1.466665 1e-05 100.98452 0 1 0
"CHE-295396" "Sandstones" "Sinuous" "Pasture" 4 501 1.05952 0 59.75982 0.0188679245283019 0.839622641509434 0.141509433962264
"CHE-371726" "Sediments" "Sinuous" "Forest_NoConif" 6 558 2 0.00499 30.45375 0.542586750788643 0.32807570977918 0.129337539432177
"CHE-189562" "Slate" "Straight" "Pasture" 3 1617 1.269665 0.00027 113.73656 0 1 0
"CHE-301270" "Sandstones" "Straight" "Forest_NoConif" 4 704 1.57143 0.00318 76.35593 0.0877742946708464 0.912225705329154 0
"CHE-320742" "Siliceous" "Straight" "Forest_NoConif" 3 561 1 0.00018 50.26535 0.364779874213836 0.635220125786163 0
"CHE-363560" "Sediments" "Straight" "Forest_NoConif" 3 505 1.674605 0.00143 48.11922 0.908517350157729 0.0126182965299685 0.0788643533123028
